"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"76","Young","Yes","Travel_Rarely","Very High ( > 1200","Research & Development","Far","Moderate","Life Sciences","Moderate","Male","Moderate (50 - 69)","High","Juniors","Laboratory Technician","Low","Married","Low (< 4000)","Low (< 10000)","Low","Yes","Very High","High","Moderate","Higher Stock Level","Just Started ( < 5)","minimal Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"77","Middle Aged","No","Travel_Rarely","High (800 - 1199)","Research & Development","Close-by","Moderate","Life Sciences","High","Male","Moderate (50 - 69)","Moderate","Associate","Manufacturing Director","High","Single","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Normal","Fair","Moderate","Low Stock Level","High (10 > 19)","minimal Training","Good","Experts","Experts","Just Promoted","Experienced"
"78","Young","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Close-by","Low","Medical","Low","Male","Low (< 50)","Low","Juniors","Research Scientist","High","Single","Low (< 4000)","Low (< 10000)","Low","No","Normal","Fair","High","Low Stock Level","Moderate (5 - 9)","minimal Training","Good","Senior","Associate","Recently Promoted","Newly Appointed"
"79","Adult","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Far","Moderate","Medical","High","Male","Moderate (50 - 69)","Moderate","Associate","Manufacturing Director","Low","Married","Moderate (4000 - 8999)","Low (< 10000)","Moderate","No","Very High","High","Moderate","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Associate","Recently Promoted","Newly Appointed"
"80","Old","No","Travel_Rarely","Very High ( > 1200","Research & Development","Close-by","Moderate","Technical Degree","Moderate","Female","Low (< 50)","Low","Associate","Healthcare Representative","Low","Divorced","High ( > 9000)","Low (< 10000)","Moderate","Yes","Slightly High","Fair","High","Moderate Stock Level","Very High ( > 20)","Intensive Training","Good","Senior","Junior","Just Promoted","Comfomrtable"
"81","Adult","No","Travel_Rarely","High (800 - 1199)","Human Resources","Far","Moderate","Human Resources","Moderate","Male","Low (< 50)","Moderate","Juniors","Human Resources","Low","Married","Low (< 4000)","High ( > 20000)","Moderate","No","Slightly High","Fair","Low","Moderate Stock Level","Moderate (5 - 9)","minimal Training","Good","Senior","Junior","Just Promoted","Comfomrtable"
"82","Middle Aged","No","Travel_Rarely","Moderate (400 - 799)","Sales","Far","Low","Marketing","Low","Female","High (70 - 89)","Low","Associate","Sales Executive","High","Married","High ( > 9000)","High ( > 20000)","High","Yes","Very High","Fair","High","Moderate Stock Level","Very High ( > 20)","Intensive Training","Good","Senior","Junior","Just Promoted","Comfomrtable"
"83","Adult","Yes","Non-Travel","Low (< 400)","Research & Development","Far","Low","Medical","Moderate","Male","Low (< 50)","Low","Juniors","Research Scientist","Low","Single","Low (< 4000)","Moderate (10000 - 19999)","Low","Yes","Very High","High","Low","Low Stock Level","Just Started ( < 5)","minimal Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"84","Old","Yes","Travel_Rarely","Moderate (400 - 799)","Research & Development","Far","High","Medical","Moderate","Female","Moderate (50 - 69)","Low","Associate","Manufacturing Director","Low","Married","High ( > 9000)","Moderate (10000 - 19999)","High","Yes","Slightly High","Fair","High","Low Stock Level","Very High ( > 20)","minimal Training","Moderate","Experts","Experts","Pending Promotion","Experienced"
"85","Adult","No","Travel_Rarely","Low (< 400)","Sales","Far","Low","Marketing","Moderate","Male","Low (< 50)","Low","Associate","Sales Executive","Low","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Moderate","No","Slightly High","Fair","Moderate","Higher Stock Level","High (10 > 19)","minimal Training","Moderate","Senior","Junior","Recently Promoted","Comfomrtable"
"86","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Very Far","Moderate","Life Sciences","Low","Male","Fairly High ( > 90","Moderate","Associate","Manufacturing Director","Low","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","High","Moderate Stock Level","High (10 > 19)","Intensive Training","Moderate","Senior","Experts","Pending Promotion","Experienced"
"87","Middle Aged","No","Travel_Rarely","Moderate (400 - 799)","Sales","Close-by","High","Marketing","Moderate","Male","Low (< 50)","Low","Senior","Manager","Low","Married","High ( > 9000)","Moderate (10000 - 19999)","Low","No","Normal","Fair","Low","Low Stock Level","Very High ( > 20)","Intensive Training","Good","Experts","Senior","Recently Promoted","Experienced"
"88","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Far","High","Life Sciences","High","Female","Low (< 50)","High","Juniors","Laboratory Technician","Moderate","Married","Low (< 4000)","High ( > 20000)","Moderate","Yes","Slightly High","Fair","Moderate","Moderate Stock Level","High (10 > 19)","Intensive Training","Good","Senior","Senior","Recently Promoted","Experienced"
"89","Adult","No","Travel_Rarely","Very High ( > 1200","Research & Development","Very Far","High","Life Sciences","Low","Male","High (70 - 89)","Moderate","Associate","Healthcare Representative","Moderate","Married","Moderate (4000 - 8999)","Low (< 10000)","High","No","Slightly High","Fair","Low","Higher Stock Level","High (10 > 19)","minimal Training","Moderate","Junior","Junior","Just Promoted","Comfomrtable"
"90","Young","No","Non-Travel","High (800 - 1199)","Sales","Far","Low","Medical","Low","Male","Low (< 50)","Moderate","Juniors","Sales Representative","High","Single","Low (< 4000)","Low (< 10000)","Low","No","Very High","High","Moderate","Low Stock Level","Just Started ( < 5)","Intensive Training","Moderate","Junior","Junior","Recently Promoted","Comfomrtable"
"91","Adult","No","Travel_Rarely","Very High ( > 1200","Research & Development","Very Far","Low","Medical","High","Female","Moderate (50 - 69)","Moderate","Associate","Research Scientist","High","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","High","Higher Stock Level","High (10 > 19)","minimal Training","Good","Experts","Experts","Recently Promoted","Experienced"
"92","Adult","No","Travel_Rarely","Low (< 400)","Sales","Far","High","Marketing","High","Female","Low (< 50)","Low","Associate","Sales Executive","High","Single","Moderate (4000 - 8999)","Low (< 10000)","Low","No","Very High","High","Low","Low Stock Level","Moderate (5 - 9)","minimal Training","Good","Senior","Senior","Just Promoted","Comfomrtable"
"93","Adult","No","Travel_Frequently","High (800 - 1199)","Sales","Far","Low","Marketing","High","Male","Moderate (50 - 69)","Moderate","Associate","Sales Executive","High","Divorced","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Normal","Fair","High","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Junior","Just Promoted","Comfomrtable"
"94","Adult","No","Non-Travel","High (800 - 1199)","Research & Development","Very Far","High","Life Sciences","Low","Female","Low (< 50)","Moderate","Associate","Laboratory Technician","Low","Married","Moderate (4000 - 8999)","Low (< 10000)","High","No","Slightly High","Fair","Moderate","Moderate Stock Level","High (10 > 19)","Intensive Training","Good","Senior","Experts","Just Promoted","Experienced"
"95","Adult","No","Travel_Frequently","High (800 - 1199)","Sales","Close-by","Moderate","Marketing","Moderate","Female","Moderate (50 - 69)","Moderate","Associate","Sales Executive","Low","Divorced","Moderate (4000 - 8999)","Low (< 10000)","Low","No","Slightly High","Fair","High","Moderate Stock Level","High (10 > 19)","minimal Training","Good","Senior","Associate","Recently Promoted","Experienced"
"96","Adult","No","Non-Travel","Moderate (400 - 799)","Sales","Far","Moderate","Life Sciences","High","Male","Low (< 50)","Moderate","Senior","Manager","Moderate","Single","High ( > 9000)","High ( > 20000)","Low","No","Normal","Fair","High","Low Stock Level","High (10 > 19)","minimal Training","Good","Experts","Experts","Pending Promotion","Newly Appointed"
"97","Adult","No","Travel_Frequently","Moderate (400 - 799)","Research & Development","Far","Low","Life Sciences","Moderate","Female","Low (< 50)","Moderate","Juniors","Laboratory Technician","Moderate","Married","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Normal","Fair","Low","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Associate","Just Promoted","Experienced"
"98","Adult","No","Travel_Rarely","Very High ( > 1200","Research & Development","Far","Low","Medical","Moderate","Male","Moderate (50 - 69)","Moderate","Associate","Research Director","Moderate","Single","High ( > 9000)","Low (< 10000)","High","No","Very High","High","Moderate","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Associate","Recently Promoted","Comfomrtable"
"99","Old","No","Travel_Rarely","High (800 - 1199)","Research & Development","Close-by","Moderate","Medical","High","Female","High (70 - 89)","Moderate","Senior","Research Director","Low","Married","High ( > 9000)","High ( > 20000)","Moderate","Yes","Very High","High","Moderate","Moderate Stock Level","Very High ( > 20)","Intensive Training","Good","Senior","Experts","Recently Promoted","Comfomrtable"
"100","Young","No","Travel_Rarely","Very High ( > 1200","Research & Development","Close-by","Moderate","Medical","Moderate","Female","Moderate (50 - 69)","Moderate","Juniors","Research Scientist","Low","Married","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Very High","High","Moderate","Moderate Stock Level","Just Started ( < 5)","Intensive Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"101","Adult","No","Non-Travel","Very High ( > 1200","Research & Development","Far","High","Life Sciences","Low","Male","Moderate (50 - 69)","High","Juniors","Laboratory Technician","Low","Married","Low (< 4000)","Low (< 10000)","Low","No","Very High","High","Low","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Associate","Just Promoted","Comfomrtable"
"102","Adult","No","Travel_Rarely","High (800 - 1199)","Human Resources","Close-by","Low","Human Resources","High","Male","Moderate (50 - 69)","Moderate","Juniors","Human Resources","Low","Divorced","Low (< 4000)","High ( > 20000)","Moderate","Yes","Normal","Fair","Moderate","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Associate","Just Promoted","Comfomrtable"
"103","Young","Yes","Travel_Rarely","Moderate (400 - 799)","Research & Development","Very Far","Moderate","Technical Degree","Moderate","Male","Moderate (50 - 69)","Low","Juniors","Laboratory Technician","High","Single","Low (< 4000)","High ( > 20000)","Low","Yes","Very High","Fair","Low","Low Stock Level","Just Started ( < 5)","Intensive Training","Moderate","Junior","Junior","Just Promoted","Newly Appointed"
"104","Young","No","Travel_Rarely","High (800 - 1199)","Sales","Very Far","Low","Medical","Moderate","Female","Low (< 50)","Moderate","Associate","Sales Executive","High","Single","Moderate (4000 - 8999)","High ( > 20000)","Low","No","Very High","High","Low","Low Stock Level","Moderate (5 - 9)","Intensive Training","Moderate","Senior","Senior","Recently Promoted","Comfomrtable"
"105","Young","No","Non-Travel","Moderate (400 - 799)","Sales","Close-by","Moderate","Life Sciences","High","Male","Moderate (50 - 69)","Moderate","Associate","Sales Executive","Moderate","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","Low","Moderate Stock Level","Just Started ( < 5)","Intensive Training","Moderate","Senior","Associate","Just Promoted","Comfomrtable"
"106","Young","No","Travel_Rarely","Low (< 400)","Research & Development","Close-by","Low","Medical","Low","Male","Moderate (50 - 69)","Low","Juniors","Laboratory Technician","Low","Married","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","Low","Higher Stock Level","Moderate (5 - 9)","minimal Training","Good","Senior","Associate","Recently Promoted","Comfomrtable"
"107","Adult","No","Travel_Frequently","Moderate (400 - 799)","Research & Development","Close-by","High","Other","High","Male","Low (< 50)","Low","Juniors","Laboratory Technician","High","Married","Low (< 4000)","High ( > 20000)","Low","No","Slightly High","Fair","Low","Moderate Stock Level","Just Started ( < 5)","minimal Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"108","Adult","Yes","Travel_Rarely","Moderate (400 - 799)","Sales","Close-by","Moderate","Life Sciences","Low","Male","Moderate (50 - 69)","Low","Associate","Sales Executive","Low","Married","High ( > 9000)","Low (< 10000)","Low","No","Normal","Fair","High","Moderate Stock Level","High (10 > 19)","Intensive Training","Good","Experts","Experts","Pending Promotion","Experienced"
"109","Young","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Close-by","Moderate","Life Sciences","Low","Female","High (70 - 89)","Moderate","Juniors","Research Scientist","High","Married","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Very High","High","Low","Low Stock Level","Just Started ( < 5)","Intensive Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"110","Adult","No","Travel_Rarely","Moderate (400 - 799)","Sales","Close-by","High","Life Sciences","Moderate","Female","Moderate (50 - 69)","Moderate","Associate","Sales Representative","High","Single","Moderate (4000 - 8999)","Low (< 10000)","Moderate","No","Slightly High","Fair","Moderate","Low Stock Level","High (10 > 19)","minimal Training","Moderate","Experts","Senior","Pending Promotion","Experienced"
"111","Young","No","Travel_Rarely","Low (< 400)","Sales","Close-by","Low","Other","Moderate","Male","Fairly High ( > 90","Moderate","Associate","Sales Executive","Low","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","Yes","Very High","Fair","High","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Associate","Just Promoted","Comfomrtable"
"112","Adult","No","Travel_Rarely","Low (< 400)","Sales","Far","High","Life Sciences","High","Female","High (70 - 89)","Low","Associate","Sales Executive","High","Divorced","Moderate (4000 - 8999)","High ( > 20000)","Moderate","Yes","Slightly High","Fair","Moderate","Higher Stock Level","Moderate (5 - 9)","Intensive Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
